A=5083 B=5388 C=5715 X=197127975 Y=6937747504 Z=10436823171 M=4593
A=5562 B=7341 C=8636 X=628119367 Y=6333766510 Z=35419683768 M=8604
A=9629 B=4250 C=5198 X=860760442 Y=9160599521 Z=97237635980 M=3702
A=3939 B=8724 C=8556 X=136991750 Y=5582449043 Z=27206754714 M=7327
A=6151 B=7449 C=9072 X=164467904 Y=7300054834 Z=27111842975 M=5457
A=8836 B=8557 C=9103 X=623087746 Y=5267471002 Z=11066671076 M=9376
A=9686 B=4602 C=6532 X=918076814 Y=9611243698 Z=60322319373 M=7554
A=9862 B=4549 C=5868 X=330597903 Y=9917067425 Z=62561447861 M=8883
A=4955 B=6290 C=6260 X=357707377 Y=1524023806 Z=38606546251 M=8119
A=2357 B=4568 C=6905 X=687103049 Y=8649340954 Z=93252256710 M=3969
A=2230 B=3472 C=6373 X=662901111 Y=2048575868 Z=46736276083 M=9696
A=5278 B=9693 C=5632 X=625009390 Y=3610368923 Z=56092337153 M=7589
A=6418 B=5295 C=9321 X=721955898 Y=2123213685 Z=79770785797 M=9426
A=8947 B=4469 C=7029 X=526457225 Y=7688751539 Z=93313917201 M=1509
A=7713 B=3442 C=9231 X=778391577 Y=4502098081 Z=41449112603 M=7336
A=2368 B=8562 C=5021 X=212432168 Y=5492700073 Z=14190729854 M=2223
A=9899 B=3430 C=5256 X=757866742 Y=7319102072 Z=30877927090 M=6365
A=5593 B=7166 C=6492 X=839855454 Y=3850584058 Z=11504989787 M=6680
A=8340 B=4553 C=5772 X=646303508 Y=8300673493 Z=29814296022 M=9795
A=6473 B=5783 C=6940 X=244507027 Y=5569917823 Z=77801355872 M=2856
A=7567 B=5960 C=9847 X=191740259 Y=4639972321 Z=13661438717 M=8708
A=5911 B=9675 C=8251 X=989648577 Y=4510272258 Z=72936705053 M=2492
A=9588 B=5184 C=6821 X=244759139 Y=4698143137 Z=16260509217 M=6719
A=4389 B=6440 C=5197 X=537477902 Y=6843557610 Z=87469327063 M=2733
A=6508 B=3742 C=5958 X=878648205 Y=9255197633 Z=25474644337 M=3887
A=2102 B=8350 C=8276 X=148492400 Y=2980432778 Z=37932620482 M=3747
A=6081 B=4676 C=6425 X=825101405 Y=1074974836 Z=30232514413 M=7092
A=2194 B=8064 C=5037 X=690834025 Y=1476265400 Z=82820184603 M=8014
A=6094 B=3638 C=6492 X=987686639 Y=1767080509 Z=31364582935 M=7924
A=3584 B=5032 C=7482 X=373496483 Y=2557164609 Z=90420888577 M=2004
A=9725 B=6666 C=7335 X=342672873 Y=3955042401 Z=60196053508 M=8764
A=3064 B=6809 C=8235 X=766039731 Y=1393761205 Z=85661917750 M=5541
A=3091 B=4582 C=5893 X=409772553 Y=4638225444 Z=76463223158 M=9769
A=6104 B=8334 C=5940 X=981430386 Y=4996324130 Z=20241840767 M=1830
A=4688 B=9574 C=7972 X=528670812 Y=5825790924 Z=29610262727 M=9139
A=2083 B=9880 C=5312 X=703936329 Y=3497687007 Z=66638505705 M=2176
A=2896 B=5495 C=8289 X=916252668 Y=2701011245 Z=85874408872 M=9811
A=7881 B=3429 C=6318 X=787831316 Y=7302489589 Z=18452714134 M=7688
A=9380 B=7813 C=5494 X=580312318 Y=2151710789 Z=35749537412 M=7033
A=4916 B=3363 C=5597 X=280831276 Y=2459922463 Z=28250849009 M=4635
A=3200 B=5379 C=7620 X=876982987 Y=6059780487 Z=28889678818 M=5395
A=3681 B=9159 C=7012 X=670360418 Y=1503798833 Z=46194519077 M=1072
A=3689 B=5669 C=6439 X=827353635 Y=4273414769 Z=70510563091 M=2803
A=2986 B=6130 C=5858 X=642695266 Y=4670671026 Z=16923850854 M=4312
A=2840 B=9903 C=9706 X=199342978 Y=1981635593 Z=12485090742 M=7766
A=9588 B=8189 C=8371 X=673814324 Y=1684814427 Z=18675668004 M=6631
A=9129 B=8060 C=8463 X=234646260 Y=3437383074 Z=61282263480 M=3153
A=9222 B=8275 C=5181 X=454571458 Y=3370448440 Z=52084399948 M=1491
A=9871 B=9888 C=8060 X=911860303 Y=6500766632 Z=26094921057 M=3990
A=2480 B=6343 C=8196 X=404372032 Y=3765360142 Z=67043535920 M=2231
A=6724 B=5444 C=8684 X=331330199 Y=8277047622 Z=71962007793 M=2702
A=9855 B=3235 C=7813 X=568726718 Y=8412525819 Z=55868602974 M=1173
A=4345 B=4231 C=8274 X=885850474 Y=2896802793 Z=25947069731 M=3410
A=7070 B=4284 C=6029 X=425126436 Y=5845656568 Z=40597327862 M=8614
A=5573 B=5235 C=8544 X=998657201 Y=2285812116 Z=75017683116 M=4409
A=7002 B=8306 C=5285 X=217109702 Y=1230509896 Z=55319368674 M=5835
A=2739 B=7739 C=5786 X=598504764 Y=8690351104 Z=49333148617 M=4028
A=4503 B=5744 C=8533 X=827906860 Y=2445100262 Z=41342231878 M=4269
A=5707 B=3023 C=7063 X=928179996 Y=5501909466 Z=34063160655 M=5661
A=9050 B=4237 C=6306 X=450424667 Y=2133727630 Z=81861275444 M=4303
A=2306 B=6806 C=9682 X=682310669 Y=3101929348 Z=55136889262 M=5187
A=9803 B=6306 C=8820 X=309231132 Y=6134824681 Z=55703555027 M=4961
A=8106 B=8721 C=5804 X=382719919 Y=1135508519 Z=95968701141 M=6668
A=8114 B=4499 C=6629 X=154876978 Y=9379353588 Z=15303566097 M=9334
A=6184 B=6585 C=6830 X=706859251 Y=8290686338 Z=36485353017 M=1790
A=8717 B=4442 C=9999 X=786046920 Y=5259069808 Z=37425039606 M=5315
A=8577 B=4833 C=6048 X=333775551 Y=7662668865 Z=67481295892 M=8743
A=6852 B=5183 C=7433 X=458765322 Y=8124740106 Z=90703868776 M=2186
A=7279 B=6593 C=5276 X=178120401 Y=1372552414 Z=15895124518 M=1666
A=2349 B=9275 C=6038 X=878903970 Y=7041020130 Z=58120912543 M=6477
A=4194 B=3434 C=7498 X=547173056 Y=6640748668 Z=72170528282 M=8743
A=7678 B=7932 C=6230 X=941031841 Y=8519722260 Z=34848264607 M=4820
A=9250 B=8748 C=9375 X=402432096 Y=6022026124 Z=77789948000 M=3613
A=6362 B=9589 C=6110 X=806149721 Y=5743268454 Z=67192074603 M=9942
A=6115 B=7344 C=7098 X=468385662 Y=1804936704 Z=43590966465 M=8776
A=7502 B=9574 C=8275 X=364942763 Y=4253749448 Z=37233974731 M=3631
A=3511 B=4682 C=6160 X=447811771 Y=2242165164 Z=30592768704 M=9168
A=6495 B=4889 C=5279 X=268163735 Y=4155942821 Z=80651214157 M=9734
A=3943 B=8347 C=5894 X=308666255 Y=2453392453 Z=83075583769 M=1378
A=7654 B=8587 C=5018 X=409664428 Y=7455525677 Z=27714355634 M=1959
A=4161 B=4580 C=8269 X=588541068 Y=8496746160 Z=65140344472 M=7998
A=2699 B=6355 C=7750 X=602030840 Y=4515262026 Z=73761886054 M=8729
A=3557 B=4544 C=7281 X=286869301 Y=5090036416 Z=18924759033 M=3573
A=9313 B=8652 C=5338 X=406669458 Y=3154437460 Z=67399552584 M=1418
A=7771 B=8848 C=9670 X=264750271 Y=3578076962 Z=67079467558 M=5147
A=7199 B=5777 C=9731 X=555565785 Y=4791927066 Z=85104029665 M=9335
A=8980 B=9029 C=5435 X=197250501 Y=5589809241 Z=56985383764 M=5015
A=4937 B=4070 C=7981 X=885811546 Y=4953009995 Z=89161179725 M=2205
A=8590 B=3609 C=7518 X=568108832 Y=2739970110 Z=77477399039 M=9701
A=2548 B=6060 C=7132 X=471111285 Y=5696227744 Z=85423044742 M=3969
A=5829 B=4003 C=9414 X=653540126 Y=8292095246 Z=85371415735 M=2642
A=6277 B=7842 C=7462 X=567531667 Y=7339236630 Z=30218562607 M=8452
A=3259 B=3250 C=7787 X=612922155 Y=4301722825 Z=62914533805 M=2759
A=9795 B=7829 C=8638 X=966262958 Y=7146476168 Z=46620177658 M=3803
A=5651 B=6646 C=6522 X=589587232 Y=3255673661 Z=96333748900 M=5631
A=3298 B=7209 C=8513 X=432589544 Y=5313994674 Z=89147216741 M=9338
A=8512 B=5738 C=7637 X=416917420 Y=8120551703 Z=56763747764 M=7432
A=4412 B=8434 C=9411 X=642019951 Y=1389925798 Z=54500047062 M=2199
A=6608 B=6702 C=7842 X=637719272 Y=1400984996 Z=23558000093 M=2079
A=5957 B=6217 C=9669 X=248776739 Y=6824788386 Z=73371550162 M=5423
A=8619 B=8391 C=6340 X=324302341 Y=1783341113 Z=38851214194 M=1832
A=5878 B=7795 C=6886 X=378285970 Y=6915422004 Z=16889284050 M=7608
A=7441 B=4426 C=8101 X=649106558 Y=4222295962 Z=60767171609 M=1161
A=6999 B=9605 C=5805 X=637349904 Y=4418386625 Z=36783235249 M=6596
A=4687 B=6314 C=5761 X=361159350 Y=8740803248 Z=33737079548 M=5510
A=8482 B=6609 C=7190 X=977211606 Y=5729957734 Z=22683366618 M=8756
A=4175 B=9164 C=9335 X=431152136 Y=7400040771 Z=10250050236 M=5844
A=7955 B=4217 C=9723 X=548006455 Y=3160451535 Z=65912937432 M=9832
A=5451 B=7681 C=7104 X=360038704 Y=1896410773 Z=85806863505 M=5725
A=7403 B=5085 C=9571 X=874686967 Y=9432855066 Z=46962255370 M=8064
A=2224 B=5707 C=5506 X=104283533 Y=8219945411 Z=91694667817 M=4053
A=8501 B=6061 C=7755 X=667656131 Y=2135095250 Z=56678218802 M=2613
A=8190 B=6560 C=7998 X=288057185 Y=2626307478 Z=84197807851 M=9740
A=8047 B=6771 C=7825 X=553828557 Y=3607129786 Z=80784157106 M=6862
A=3352 B=4668 C=7927 X=564208758 Y=4298506603 Z=91804858309 M=1444
A=5257 B=7705 C=7193 X=581922637 Y=5280832992 Z=74912931093 M=6899
A=9842 B=7074 C=5894 X=682592198 Y=5425668168 Z=95220974689 M=2573
A=6098 B=9021 C=5975 X=554011280 Y=1462883150 Z=93078292294 M=7414
A=3441 B=6331 C=5449 X=256425639 Y=7794009028 Z=69867448753 M=3031
A=2433 B=7631 C=7750 X=628101145 Y=1297731185 Z=35752905002 M=3859
A=9685 B=3148 C=6468 X=896732224 Y=5422578522 Z=85484659011 M=2525
A=8676 B=8270 C=6202 X=117697504 Y=7201516507 Z=35779933924 M=1684
A=7240 B=4533 C=7357 X=242830516 Y=4654381391 Z=59605497414 M=9724
A=7907 B=7210 C=8364 X=569307176 Y=4464432785 Z=79830395206 M=8129
A=3812 B=3228 C=8624 X=550583118 Y=4325188892 Z=81045030985 M=6460
A=4079 B=6684 C=7457 X=711817308 Y=4560295144 Z=12824275716 M=7018
A=7037 B=7791 C=9260 X=803005614 Y=9614553136 Z=55484188253 M=1076
A=9004 B=9508 C=8162 X=727349747 Y=5638157892 Z=71843627100 M=4132
A=7071 B=5508 C=7491 X=793174151 Y=9933168928 Z=19630733654 M=5914
A=3122 B=9117 C=7207 X=142606585 Y=6748335840 Z=90402654474 M=9242
A=2965 B=6314 C=6621 X=255212522 Y=1440830361 Z=19429233050 M=4654
A=2786 B=3102 C=6713 X=558987269 Y=9471242907 Z=27726279545 M=7239
A=7312 B=4299 C=6541 X=962507057 Y=3444853355 Z=67350678438 M=4632
A=4343 B=6807 C=5273 X=432403107 Y=6932003266 Z=66294228655 M=5963
A=7304 B=9253 C=5741 X=992534195 Y=3337338015 Z=16443427640 M=4251
A=4418 B=4844 C=5603 X=712348697 Y=5590615111 Z=61747571331 M=6141
A=5898 B=4788 C=8067 X=460130507 Y=8514016144 Z=42590763462 M=9270
A=4943 B=6587 C=9365 X=783567696 Y=1377982248 Z=34568727923 M=6019
A=2007 B=4716 C=5755 X=991846317 Y=2635084975 Z=58429799957 M=1791
A=8330 B=7259 C=6234 X=662512818 Y=1195654049 Z=17733700169 M=8119
A=6616 B=9412 C=6672 X=646977627 Y=7074998620 Z=72531955296 M=2064
A=3620 B=7640 C=8520 X=805287570 Y=7339360057 Z=75899448761 M=7441
A=8078 B=8301 C=5166 X=437603858 Y=6062958487 Z=78132974262 M=3811
A=3957 B=5875 C=6819 X=775796338 Y=4958204743 Z=25454036665 M=8206
A=7813 B=9035 C=9105 X=206200780 Y=4744250856 Z=44739596998 M=7031
A=4505 B=5344 C=8373 X=435283497 Y=8769404536 Z=41534317532 M=7845
A=3576 B=9622 C=9449 X=888076114 Y=1214330445 Z=81268011077 M=7953
A=7499 B=9363 C=7694 X=542953211 Y=2314979175 Z=60042654061 M=2229
A=8156 B=4846 C=6794 X=950607966 Y=8248296716 Z=22213166764 M=9141
A=3215 B=4556 C=8359 X=438903242 Y=5057652170 Z=42386139041 M=9167
A=4181 B=3896 C=5348 X=490057571 Y=2492091256 Z=72682589312 M=2830
A=4883 B=9499 C=5481 X=854254497 Y=5000448364 Z=23575246701 M=5679
A=2484 B=8754 C=7389 X=203950630 Y=4878562508 Z=74973717211 M=8200
A=4670 B=3371 C=8168 X=916029773 Y=5796273627 Z=43923361959 M=8592
A=7300 B=8281 C=9260 X=269668947 Y=8781860703 Z=71566771861 M=8567
A=9271 B=8691 C=9482 X=514913993 Y=2406961523 Z=75554222026 M=8898
A=6905 B=4013 C=9937 X=842768219 Y=6738972259 Z=24745644451 M=6098
A=4391 B=6163 C=6399 X=776157853 Y=8842770027 Z=45074254856 M=9799
A=2990 B=3006 C=7724 X=829255750 Y=5255392401 Z=29934725927 M=1290
A=6112 B=8550 C=5792 X=674016073 Y=6939187682 Z=72948527354 M=5891
A=7328 B=7904 C=8980 X=568340455 Y=3974068206 Z=97023395480 M=8510
A=2552 B=8317 C=7987 X=400234630 Y=7218795943 Z=56829589715 M=4389
A=5672 B=8696 C=6810 X=557512882 Y=5521248004 Z=68781871268 M=5484
A=5214 B=5976 C=8686 X=935350989 Y=3638194966 Z=41827137204 M=8781
A=9994 B=5356 C=6041 X=598334719 Y=8118040037 Z=64524691153 M=9699
A=4012 B=9773 C=9416 X=718487554 Y=6714906059 Z=54571000305 M=5636
A=8331 B=4985 C=5915 X=699354514 Y=3094450048 Z=25426781557 M=4516
A=6336 B=5243 C=7174 X=776032840 Y=8414920917 Z=42583645206 M=7836
A=2816 B=4932 C=6487 X=669238591 Y=1320617870 Z=69049143384 M=3917
A=4296 B=6864 C=7520 X=181161644 Y=1577652248 Z=20272269692 M=7704
A=8182 B=6943 C=8561 X=981322245 Y=9004442451 Z=95879497522 M=8583
A=5774 B=5285 C=5452 X=214529808 Y=7944937476 Z=62127014899 M=8326
A=2954 B=3725 C=6883 X=681397629 Y=2800693895 Z=74431956028 M=8976
A=4081 B=4219 C=6201 X=565645499 Y=3003436380 Z=45180080671 M=8594
A=5417 B=6054 C=8015 X=623990392 Y=9945336058 Z=97917819228 M=8428
A=7511 B=8103 C=8538 X=739545633 Y=7919600252 Z=84280221799 M=2215
A=5742 B=4233 C=9356 X=226569438 Y=2797392998 Z=84303189020 M=9092
A=2868 B=4293 C=9877 X=882813220 Y=6553841272 Z=34949326748 M=1012
A=8372 B=3901 C=7065 X=863189437 Y=4352359222 Z=41398588674 M=9328
A=4939 B=4449 C=7429 X=628059649 Y=7996166857 Z=62298374294 M=2587
A=5476 B=6694 C=6327 X=327645339 Y=5240777864 Z=16897240155 M=1732
A=2788 B=7339 C=5697 X=129170680 Y=7170996441 Z=34530374337 M=6827
A=3850 B=8476 C=9018 X=166881321 Y=7706057268 Z=56205026144 M=6749
A=4649 B=4419 C=7668 X=309901426 Y=4809265888 Z=67934675248 M=7028
A=3076 B=6928 C=7975 X=800954188 Y=4040019734 Z=76636766652 M=1603
A=3213 B=3956 C=9838 X=565168832 Y=8387187487 Z=47998632833 M=6287
A=5930 B=9198 C=7955 X=778838333 Y=7504347563 Z=98487173398 M=6562
A=9080 B=6474 C=7718 X=246177719 Y=9855107489 Z=84710690458 M=9374
A=5848 B=9666 C=9108 X=214084358 Y=3873300039 Z=99825914953 M=7409
A=2726 B=8696 C=9693 X=881512199 Y=7489335140 Z=15665027837 M=6301
A=3165 B=6692 C=7956 X=331381664 Y=5058623495 Z=81196212946 M=9546
A=5484 B=3996 C=5234 X=112502653 Y=5122545064 Z=87675037926 M=9300
A=7553 B=3215 C=9728 X=296856156 Y=9196165304 Z=46389096300 M=7709
A=8896 B=5418 C=7064 X=986315958 Y=7623996303 Z=81860277416 M=9159
A=4044 B=4925 C=6851 X=642752591 Y=9032595351 Z=65985781893 M=3146
A=9145 B=4597 C=7657 X=255398323 Y=1280416174 Z=53409499000 M=5089
A=4516 B=8154 C=9786 X=166498815 Y=6321326819 Z=67834997372 M=7459
A=7716 B=7155 C=9493 X=175334858 Y=2280705662 Z=85244681323 M=7783
A=4133 B=5594 C=5700 X=451939635 Y=9683838591 Z=84927065821 M=6657
A=3800 B=5670 C=8026 X=387242272 Y=4694201507 Z=82398282992 M=3516
A=4551 B=8134 C=9782 X=751245831 Y=7490532238 Z=61288469177 M=6666
A=4713 B=3583 C=6857 X=431771712 Y=4232378301 Z=40173121400 M=2227
A=9286 B=3860 C=8509 X=208188174 Y=5457069147 Z=50206941418 M=4345
A=8187 B=8691 C=7220 X=673790914 Y=3836206382 Z=23225416436 M=2777
A=8846 B=7710 C=9148 X=379106968 Y=1712561295 Z=82723796246 M=4106
A=4030 B=7016 C=8236 X=764033671 Y=5732736805 Z=49367803666 M=2491
A=7539 B=6678 C=5849 X=573331388 Y=5395306363 Z=76439984587 M=4370
A=7348 B=6826 C=5248 X=342422320 Y=4965079181 Z=73567587879 M=8272
A=5764 B=6294 C=5814 X=982744304 Y=7016427641 Z=76006130131 M=6236
A=3678 B=9268 C=5607 X=222997132 Y=9651081095 Z=53789042421 M=4021
A=4480 B=4914 C=7870 X=790571040 Y=6788735436 Z=15883600482 M=1539
A=5913 B=5794 C=9822 X=578211165 Y=9804187096 Z=56250185389 M=9818
A=8193 B=4687 C=9124 X=493057251 Y=3136217182 Z=28081831363 M=2581
A=3339 B=5498 C=5745 X=967721333 Y=1968517670 Z=85537135610 M=6238
A=9596 B=9097 C=7503 X=222204234 Y=2827447462 Z=58722985336 M=8744
A=4606 B=5534 C=5099 X=700119217 Y=4216079877 Z=61342679706 M=7224
A=6061 B=4998 C=7572 X=510012984 Y=7607616836 Z=19094559841 M=7551
A=2761 B=9648 C=9381 X=319418773 Y=5487680477 Z=11506725761 M=4568
A=5270 B=7158 C=7779 X=511503967 Y=5063543787 Z=23182248504 M=3574
A=7309 B=9275 C=8814 X=400683143 Y=4491908956 Z=61904672886 M=1649
A=2051 B=5914 C=5409 X=521598697 Y=6710702186 Z=86321690727 M=1615
A=2338 B=5459 C=7860 X=571170073 Y=2800390552 Z=12801852625 M=3722
A=2867 B=8064 C=5616 X=984089091 Y=8304855064 Z=16005115193 M=9107
A=5893 B=7179 C=9116 X=435705672 Y=8994546135 Z=50823611266 M=8613
A=2110 B=8099 C=9696 X=407081673 Y=4131236500 Z=91919179856 M=4872
A=3597 B=5232 C=8755 X=391013689 Y=6608662248 Z=24631546733 M=2254
A=4090 B=8760 C=6277 X=895666208 Y=6896150155 Z=92609120464 M=3755
A=5584 B=4325 C=7450 X=182754077 Y=4765749944 Z=92800378600 M=2293
A=8920 B=9605 C=6668 X=610597291 Y=2494904017 Z=50663607260 M=8436
A=3875 B=8477 C=6581 X=997270703 Y=2687435613 Z=10442865253 M=9921
A=8047 B=6130 C=8384 X=596989549 Y=4413138680 Z=26810724534 M=2030
A=5629 B=8611 C=9841 X=614079777 Y=6109293131 Z=48377826458 M=8096
A=3509 B=5731 C=8382 X=226884464 Y=1713709868 Z=19294163714 M=3703
A=2117 B=5030 C=7348 X=722818404 Y=1143655583 Z=39343006508 M=5578
A=5816 B=8319 C=8186 X=228752675 Y=6162249243 Z=76461377064 M=7775
A=5945 B=7202 C=6869 X=872706220 Y=5826205146 Z=91164609490 M=1734
A=9596 B=6021 C=7759 X=334267012 Y=9037787598 Z=58823084947 M=8260
A=3731 B=4570 C=5873 X=135004814 Y=9331401280 Z=48838280545 M=4523
A=6912 B=4704 C=8640 X=740513545 Y=3511405048 Z=36130893949 M=1013
A=8102 B=9943 C=7249 X=719166669 Y=5651508291 Z=16200051282 M=5342
A=3662 B=7518 C=6635 X=132575639 Y=3298343441 Z=10363877149 M=7494
A=9878 B=8427 C=7450 X=386668832 Y=1345920760 Z=43032893282 M=5088
A=5179 B=7414 C=7486 X=460066362 Y=9547584374 Z=34934544652 M=2259
A=9371 B=7029 C=8552 X=414832855 Y=4799246797 Z=28604810658 M=5148
A=9514 B=7612 C=6734 X=997341649 Y=7548789841 Z=37516445631 M=7298
A=2612 B=4235 C=7059 X=160714960 Y=3809453554 Z=22943794227 M=1749
A=2976 B=9166 C=7258 X=962221365 Y=4056973553 Z=73337725153 M=6859
A=8168 B=8256 C=6499 X=757323014 Y=3020273650 Z=95186691950 M=1913
A=9036 B=3506 C=9598 X=250450597 Y=6517665942 Z=48453868239 M=2474
A=3656 B=5117 C=5830 X=418362073 Y=4689169699 Z=96744026853 M=6786
A=9306 B=3017 C=6390 X=479974544 Y=1095462837 Z=54227333699 M=7592
A=2186 B=6034 C=6325 X=366474899 Y=6360793138 Z=32286772433 M=5428
A=9112 B=7624 C=6164 X=228184284 Y=6626374199 Z=96360376754 M=6673
A=8939 B=3853 C=8014 X=673384883 Y=5725105242 Z=63705223436 M=1314
A=4428 B=9328 C=5525 X=719113826 Y=8202688950 Z=40276434517 M=5348
A=2043 B=9182 C=6542 X=977774874 Y=8778780840 Z=50940442660 M=4542
A=3000 B=6290 C=7878 X=787122532 Y=2685860244 Z=81391255566 M=8526
A=3300 B=6878 C=6225 X=251808682 Y=9839109863 Z=26009045616 M=1370
A=7237 B=4853 C=8973 X=848952433 Y=8598895903 Z=73962474262 M=1309
A=7982 B=9014 C=6132 X=616304278 Y=7617202848 Z=23387110200 M=3299
A=3839 B=4738 C=8238 X=734711365 Y=2134248214 Z=83977232088 M=5351
A=5612 B=9533 C=6925 X=977656271 Y=1008225706 Z=28724542577 M=9233
A=6611 B=6310 C=6439 X=962257650 Y=9246275795 Z=85355121377 M=4504
A=9994 B=8863 C=6195 X=609935469 Y=1371320084 Z=54520546022 M=4429
A=6182 B=4198 C=6455 X=854940420 Y=9818616087 Z=10728366319 M=1703
A=9744 B=5765 C=9180 X=478265499 Y=3173678332 Z=82605663127 M=6305
A=9838 B=6780 C=8431 X=416981981 Y=2991961402 Z=58888285715 M=2048
A=3951 B=5795 C=6531 X=396576442 Y=9165510302 Z=93354596462 M=2698
A=6526 B=5778 C=9228 X=106486523 Y=4082524217 Z=18928367757 M=8209
A=3006 B=6464 C=5961 X=368948365 Y=8025393892 Z=59784233639 M=4042
A=9336 B=8367 C=5893 X=536485717 Y=4303207447 Z=13985336942 M=4809
A=5804 B=3333 C=9634 X=254670735 Y=9568963952 Z=89085634338 M=8315
A=3752 B=7410 C=6482 X=324588093 Y=6633770625 Z=11075741074 M=8900
A=5413 B=8088 C=9796 X=556374567 Y=4358428492 Z=79001173546 M=1714
A=8994 B=4152 C=5270 X=306834685 Y=3124819933 Z=43692726727 M=9400
A=4158 B=3616 C=6486 X=915731149 Y=4244813833 Z=66109692125 M=9570
A=3223 B=9128 C=5821 X=818473336 Y=7433299930 Z=45029519878 M=1310
A=9764 B=6443 C=6061 X=989793819 Y=4608641901 Z=80178331895 M=7497
A=9021 B=7139 C=8619 X=929844607 Y=2589677019 Z=89443293060 M=6597
A=4295 B=9146 C=9580 X=897676895 Y=3330624873 Z=11981550869 M=4059
A=9766 B=7431 C=9003 X=589229139 Y=5303254321 Z=25761762446 M=8946
A=7626 B=6683 C=9873 X=701614148 Y=7796426037 Z=10128422371 M=8972
A=8920 B=4273 C=5443 X=192880192 Y=3266295688 Z=16775636614 M=3304
A=6682 B=7869 C=5815 X=683931894 Y=9029046222 Z=37141754371 M=9938
A=9184 B=4872 C=9912 X=354860122 Y=7104633376 Z=27708742662 M=7892
A=9443 B=7552 C=5174 X=572250243 Y=1583626908 Z=75304574142 M=7118
A=7182 B=9173 C=6533 X=397066643 Y=7513990238 Z=95285331217 M=4152
A=2443 B=7868 C=9302 X=285089981 Y=5091301275 Z=10557536985 M=7184
A=4020 B=3891 C=5879 X=130868341 Y=9366813001 Z=62738478145 M=4062
A=5507 B=9472 C=7611 X=932315470 Y=2703223653 Z=60680429925 M=8355
A=8336 B=7166 C=5969 X=258800751 Y=9330522391 Z=81471354683 M=7972
A=8424 B=5718 C=9074 X=109342691 Y=6382647683 Z=68476012712 M=8955
A=9851 B=6481 C=8793 X=706668404 Y=9278518922 Z=21629916573 M=8716
A=7497 B=9718 C=8552 X=308411518 Y=3792091154 Z=70166524842 M=3788
A=7172 B=4049 C=9180 X=608926907 Y=3154034966 Z=25698923432 M=3520
A=9352 B=6110 C=6692 X=441999457 Y=2833806045 Z=23500398598 M=2382
A=2025 B=7075 C=6353 X=884436089 Y=9758198679 Z=82332630207 M=3550
A=8646 B=9825 C=5932 X=456623845 Y=7225155247 Z=83430634141 M=5032
A=2526 B=3451 C=8521 X=515881061 Y=1880654671 Z=41762361802 M=6038
A=7758 B=8755 C=8851 X=908652887 Y=5935565312 Z=16993956540 M=6725
A=4223 B=6602 C=9060 X=170109384 Y=2512434490 Z=67198814996 M=5379
A=4039 B=9715 C=5553 X=891844492 Y=3883587499 Z=45233997639 M=9182
A=5728 B=3849 C=6010 X=150208140 Y=1022015785 Z=91868865947 M=6197
A=3871 B=3315 C=6611 X=391908687 Y=9287248861 Z=29583459125 M=5206
A=4394 B=3913 C=7872 X=507914916 Y=6006692702 Z=82384764895 M=1994
A=4568 B=5175 C=7325 X=865251425 Y=5620760763 Z=31929227278 M=2193
A=2216 B=9428 C=5845 X=361357598 Y=3104859592 Z=98950792862 M=7767
A=6054 B=5560 C=8192 X=366373587 Y=7510002140 Z=82697068400 M=2965
A=2468 B=6226 C=9008 X=932383349 Y=6482313236 Z=52759564339 M=8095
A=7036 B=3616 C=8701 X=417758214 Y=5100520833 Z=10497079718 M=8740
A=6689 B=4145 C=7244 X=315472939 Y=6436627440 Z=36742513314 M=3432
A=9803 B=9236 C=9657 X=622406915 Y=4326926658 Z=60158320714 M=4588
A=5810 B=8769 C=6447 X=522246414 Y=6187393489 Z=97138471653 M=5349
A=2539 B=6636 C=7382 X=811258546 Y=7173917304 Z=50708956680 M=9977
A=7200 B=7612 C=7503 X=104033984 Y=7462567321 Z=82522471182 M=7992
A=9104 B=8366 C=5989 X=666865819 Y=4540172110 Z=22740621926 M=9455
A=6483 B=3676 C=9456 X=827893938 Y=5387861128 Z=19177379345 M=1197
A=7081 B=8381 C=6157 X=217468308 Y=7956003543 Z=71065464120 M=1460
A=6974 B=4411 C=5918 X=837573037 Y=1065038902 Z=28479211402 M=4940
A=5288 B=5822 C=9143 X=656229764 Y=3822150834 Z=97001072862 M=6578
A=3092 B=9380 C=7287 X=644672650 Y=5329111915 Z=87055354782 M=3471
A=6084 B=9946 C=5847 X=156620064 Y=7775717267 Z=21780942134 M=4761
A=3590 B=8491 C=7409 X=537351803 Y=7880999819 Z=96215456617 M=7358
A=5587 B=7799 C=8132 X=378818603 Y=7389683730 Z=91790745501 M=8170
A=8560 B=7984 C=9222 X=799327925 Y=9827611050 Z=25807525651 M=8617
A=4967 B=3601 C=5813 X=758930184 Y=4832827399 Z=34118542326 M=7175
A=8239 B=9941 C=5602 X=961619838 Y=3380632239 Z=79842877548 M=9797
A=2141 B=4187 C=7207 X=103368558 Y=3034001469 Z=93740753961 M=3343
A=8933 B=4074 C=7745 X=646690643 Y=8549398455 Z=26726788796 M=8357
A=4731 B=9760 C=9898 X=501147750 Y=4258608961 Z=26374527474 M=9797
A=5333 B=6424 C=9120 X=948082884 Y=6943532999 Z=91493942555 M=8056
A=3248 B=8493 C=8004 X=981397705 Y=3204397728 Z=89428535885 M=2106
A=6733 B=6836 C=6236 X=914256096 Y=6119717313 Z=34532483540 M=7041
